#radius	bd	ibd	sbd	hd	smhd	ad	vd	bg	hg	ag	vg	bo	ho	ao	vo	
1	0.00437	0.00436	0.00734	0.00987	0.0121	0.0111	0.00715	0.00954	0.0121	0.0218	0.0138	0.00964	0.0209	0.0168	0.0145	
2	0.0118	0.00872	0.00901	0.0131	0.0121	0.0101	0.00733	0.0245	0.0164	0.0199	0.0142	0.0227	0.028	0.0154	0.0151	
3	0.0241	0.013	0.0108	0.0161	0.0118	0.00979	0.00756	0.0488	0.0199	0.019	0.0147	0.0424	0.0347	0.0146	0.0154	
4	0.0446	0.0175	0.0127	0.0213	0.0117	0.00922	0.00736	0.09	0.0237	0.0179	0.0143	0.0756	0.042	0.0142	0.0157	
5	0.0718	0.0219	0.0149	0.0237	0.0116	0.00923	0.00768	0.144	0.0281	0.0179	0.0149	0.117	0.0483	0.0141	0.016	
6	0.107	0.0262	0.017	0.0262	0.0114	0.00906	0.00768	0.216	0.0323	0.0176	0.0149	0.171	0.0588	0.014	0.0164	
7	0.154	0.0311	0.0192	0.0315	0.0113	0.00899	0.00779	0.308	0.0352	0.0175	0.0152	0.24	0.0692	0.0141	0.0167	
8	0.211	0.0349	0.0223	0.0334	0.0115	0.00865	0.00759	0.423	0.0389	0.0168	0.0148	0.324	0.0763	0.014	0.017	
9	0.281	0.0395	0.0246	0.0385	0.0113	0.00892	0.00784	0.563	0.0495	0.0174	0.0152	0.425	0.0846	0.0143	0.0173	
10	0.365	0.0441	0.0273	0.0399	0.0113	0.0086	0.00767	0.731	0.0451	0.0167	0.0152	0.547	0.0897	0.0143	0.0176	
15	1.03	0.0668	0.0451	0.0585	0.0115	0.00851	0.00798	2.07	0.0645	0.0167	0.0155	1.5	0.133	0.0151	0.0191	
20	2.23	0.0895	0.0657	0.0761	0.0118	0.00819	0.0077	4.47	0.0831	0.0161	0.0149	3.2	0.176	0.0157	0.0207	
25	4.11	0.114	0.0911	0.0958	0.0114	0.00826	0.00778	8.23	0.101	0.0161	0.0151	5.9	0.229	0.0167	0.022	
30	6.84	0.139	0.121	0.108	0.0115	0.00847	0.00801	13.7	0.117	0.0166	0.0156	9.91	0.286	0.0175	0.0237	
40	15.5	0.194	0.195	0.145	0.0116	0.00872	0.00811	30.9	0.151	0.0168	0.0157	23.1	0.383	0.0198	0.0269	
50	29.4	0.257	0.283	0.185	0.0118	0.00858	0.00798	58.7	0.192	0.0166	0.0155	45.4	0.538	0.0219	0.03	
100	227	0.719	0.974	0.348	0.0127	0.00858	0.0082	454	0.338	0.0166	0.016	422	1.62	0.035	0.0497	
