perf2D
#radius	bd	ibd	hd	smhd	ad	vd	bg	hg	ag	vg	bo	ho	ao	vo	
1	0.00477	0.00491	0.013	0.012	0.0144	0.00725	0.0107	0.0124	0.0219	0.014	0.0105	0.0208	0.0167	0.0146	
2	0.0114	0.0101	0.0161	0.0119	0.0135	0.00743	0.0235	0.0167	0.0201	0.0144	0.0217	0.0283	0.0157	0.0148	
3	0.024	0.0146	0.0193	0.0116	0.0129	0.00794	0.0488	0.0211	0.019	0.0154	0.0424	0.0352	0.0145	0.0154	
4	0.0444	0.0192	0.0231	0.0114	0.0126	0.00755	0.0895	0.0247	0.0184	0.0148	0.0752	0.0444	0.0142	0.0159	
5	0.0714	0.0247	0.0261	0.0114	0.0121	0.0074	0.143	0.0273	0.0176	0.0143	0.117	0.049	0.0143	0.0159	
6	0.107	0.0299	0.0313	0.0116	0.0127	0.00771	0.216	0.037	0.0184	0.0149	0.172	0.0573	0.014	0.0162	
7	0.153	0.034	0.0358	0.0113	0.0121	0.00859	0.308	0.0372	0.0176	0.0167	0.24	0.0676	0.0139	0.0165	
8	0.211	0.0407	0.038	0.0112	0.0121	0.00773	0.423	0.0401	0.0172	0.015	0.324	0.072	0.0141	0.0169	
9	0.281	0.0442	0.0434	0.0114	0.012	0.00779	0.563	0.0466	0.0171	0.0151	0.425	0.0804	0.0141	0.0175	
10	0.365	0.0486	0.0446	0.0111	0.0118	0.00763	0.73	0.0455	0.0166	0.0148	0.546	0.093	0.0143	0.0176	
15	1.03	0.074	0.0604	0.0115	0.0116	0.00794	2.07	0.0624	0.0165	0.0153	1.5	0.14	0.0154	0.019	
20	2.23	0.104	0.079	0.0113	0.0113	0.00762	4.46	0.0885	0.0159	0.0148	3.19	0.178	0.0155	0.0204	
25	4.11	0.129	0.0968	0.0114	0.0116	0.0079	8.22	0.104	0.0163	0.0153	5.9	0.235	0.0164	0.0219	
30	6.82	0.154	0.111	0.0114	0.0115	0.00781	13.6	0.118	0.0161	0.0151	9.9	0.274	0.0175	0.0236	
40	15.4	0.214	0.153	0.0116	0.0116	0.00785	30.9	0.153	0.0163	0.0153	23	0.383	0.0193	0.0272	
50	29.3	0.285	0.19	0.0119	0.0117	0.00804	58.6	0.196	0.0168	0.0156	45.3	0.522	0.0213	0.0298	
100	226	0.767	0.355	0.0129	0.0117	0.00809	452	0.339	0.0163	0.0157	421	1.6	0.0346	0.0493	
perf2Dpoly
#radius	histogram ball	vHGW polygon	anchor polygon
1	0.354	0.379	0.532
2	0.486	0.329	0.455
3	0.62	0.338	0.411
4	0.74	0.763	0.995
5	0.862	0.757	0.95
6	1.03	0.759	0.968
7	1.17	0.77	0.936
8	1.31	0.768	0.894
9	1.52	1.11	1.28
10	1.67	1.08	1.31
15	2.42	1.09	1.25
20	3.13	1.16	1.29
25	3.84	1.14	1.26
30	4.64	1.17	1.3
40	5.95	1.19	1.23
50	7.6	1.22	1.41
100	19	1.36	1.34
perf_image_size
#size	bd	hd	ad	vd	bd/p	hd/p	ad/p	vd/p	
7680000	1.99	2.02	1.35	1.07	259	263	176	140	
5548800	1.45	1.47	0.95	0.747	262	265	171	135	
4009008	1.06	1.06	0.64	0.498	264	265	160	124	
2897884	0.774	0.772	0.462	0.359	267	266	159	124	
2090840	0.563	0.558	0.334	0.259	269	267	160	124	
1510880	0.412	0.405	0.242	0.186	273	268	160	123	
1090224	0.302	0.293	0.175	0.134	277	269	160	123	
787968	0.223	0.212	0.128	0.098	283	269	162	124	
568544	0.165	0.153	0.0907	0.069	290	269	160	121	
409960	0.122	0.11	0.0655	0.0497	297	268	160	121	
296100	0.0906	0.0789	0.0469	0.0353	306	267	158	119	
213600	0.0675	0.0568	0.0335	0.025	316	266	157	117	
154360	0.0506	0.041	0.0242	0.018	328	265	157	117	
111168	0.038	0.0295	0.0175	0.013	342	265	157	117	
80032	0.0287	0.0212	0.0126	0.00928	359	265	157	116	
57824	0.0219	0.0154	0.0092	0.00674	379	266	159	117	
41536	0.0167	0.011	0.00669	0.00485	402	264	161	117	
29600	0.0127	0.00781	0.00481	0.00351	431	264	163	119	
21420	0.0099	0.00569	0.00353	0.00258	462	266	165	120	
15264	0.00767	0.00409	0.00259	0.00188	502	268	169	123	
10980	0.00603	0.00297	0.00191	0.0014	549	270	174	127	
7752	0.00471	0.00213	0.00141	0.00104	607	275	182	134	
5504	0.00373	0.00156	0.00104	0.000778	678	284	190	141	
3996	0.00301	0.00114	0.000837	0.000603	754	286	210	151	
2852	0.00243	0.000849	0.000621	0.000469	851	298	218	165	
1976	0.00193	0.000605	0.000468	0.000364	978	306	237	184	
perf_nb_of_neighbors
#radius	rep	total	nb	hnb	d	hd
3	5	49	1	2	0.840903	0.712389
3	5	49	2	2	0.864859	0.690109
3	5	49	3	2	1.03951	0.677462
3	5	49	4	2	1.12234	0.669565
3	5	49	5	2	1.2023	0.660992
3	5	49	6	2	1.17519	0.658249
3	5	49	7	4	1.27048	0.932904
3	5	49	8	4	1.26351	0.931477
3	5	49	9	4	1.3297	0.935105
3	5	49	10	4	1.31376	0.92833
3	5	49	11	4	1.39637	0.936263
3	5	49	12	4	1.36071	0.927073
3	5	49	13	4	1.45006	0.918086
3	5	49	14	6	1.42821	1.14593
3	5	49	15	6	1.52423	1.14936
3	5	49	16	6	1.55451	1.11468
3	5	49	17	6	1.59265	1.11903
3	5	49	18	6	1.618	1.13694
3	5	49	19	6	1.64914	1.10615
3	5	49	20	6	1.67428	1.11729
3	5	49	21	8	1.70873	1.42906
3	5	49	22	8	1.73847	1.4384
3	5	49	23	8	1.69894	1.41004
3	5	49	24	8	1.79918	1.40602
3	5	49	25	8	1.82526	1.4334
3	5	49	26	8	1.86204	1.40512
3	5	49	27	8	1.89496	1.41538
3	5	49	28	10	1.92312	1.64277
3	5	49	29	10	1.95864	1.62354
3	5	49	30	10	1.97702	1.62599
3	5	49	31	10	2.01855	1.6116
3	5	49	32	10	2.05065	1.60993
3	5	49	33	10	2.0754	1.60086
3	5	49	34	10	2.13694	1.58578
3	5	49	35	12	2.13735	1.82441
3	5	49	36	12	2.18385	1.82533
3	5	49	37	12	2.20937	1.84998
3	5	49	38	12	2.24729	1.84576
3	5	49	39	12	2.27847	1.84256
3	5	49	40	12	2.19536	1.86153
3	5	49	41	12	2.22603	1.87329
3	5	49	42	14	2.26116	2.16872
3	5	49	43	14	2.33679	2.12872
3	5	49	44	14	2.41316	2.13711
3	5	49	45	14	2.42639	2.12468
3	5	49	46	14	2.38979	2.12364
3	5	49	47	14	2.27754	2.11237
3	5	49	48	14	2.31291	2.09884
3	5	49	49	14	2.31133	2.10733
perf_strel_size
#radius	rep	total	nb	hnb	d	hd
3	5	49	1	2	0.841299	0.713539
3	5	49	2	2	0.869522	0.691616
3	5	49	3	2	1.0233	0.675665
3	5	49	4	2	1.16975	0.667739
3	5	49	5	2	1.22305	0.66072
3	5	49	6	2	1.25862	0.660662
3	5	49	7	4	1.28905	0.931214
3	5	49	8	4	1.27767	0.92906
3	5	49	9	4	1.34744	0.935329
3	5	49	10	4	1.37537	0.930021
3	5	49	11	4	1.40822	0.928969
3	5	49	12	4	1.42671	0.926311
3	5	49	13	4	1.47557	0.92057
3	5	49	14	6	1.49905	1.14378
3	5	49	15	6	1.53599	1.14718
3	5	49	16	6	1.57019	1.11488
3	5	49	17	6	1.60327	1.11659
3	5	49	18	6	1.6262	1.13265
3	5	49	19	6	1.6684	1.10828
3	5	49	20	6	1.687	1.11483
3	5	49	21	8	1.72499	1.42786
3	5	49	22	8	1.75915	1.44127
3	5	49	23	8	1.68956	1.40595
3	5	49	24	8	1.8215	1.40874
3	5	49	25	8	1.84797	1.431
3	5	49	26	8	1.88209	1.40521
3	5	49	27	8	1.91516	1.41949
3	5	49	28	10	1.94831	1.64073
3	5	49	29	10	1.97412	1.62491
3	5	49	30	10	2.01548	1.62435
3	5	49	31	10	2.04247	1.61039
3	5	49	32	10	2.0713	1.60827
3	5	49	33	10	2.10602	1.59998
3	5	49	34	10	2.14072	1.58451
3	5	49	35	12	2.16919	1.82309
3	5	49	36	12	2.19519	1.82421
3	5	49	37	12	2.21613	1.8488
3	5	49	38	12	2.2475	1.8448
3	5	49	39	12	2.29312	1.84145
3	5	49	40	12	2.18902	1.86017
3	5	49	41	12	2.2207	1.8727
3	5	49	42	14	2.25389	2.16736
3	5	49	43	14	2.28761	2.12752
3	5	49	44	14	2.40684	2.13555
3	5	49	45	14	2.42079	2.12356
3	5	49	46	14	2.36614	2.11821
3	5	49	47	14	2.27666	2.11059
3	5	49	48	14	2.31194	2.09844
3	5	49	49	14	2.31013	2.10556
perf_threads
#nb	d	hd	ad	vhd
1	3.37	2.34	1.23	1.02
2	1.69	1.64	0.73	0.615
3	1.14	1.15	0.46	0.367
4	0.871	0.866	0.39	0.312
5	1.06	1.03	0.505	0.437
6	1.01	0.949	0.489	0.422
7	0.963	0.866	0.493	0.422
8	0.918	0.849	0.506	0.453
9	0.947	0.897	0.548	0.491
10	0.92	0.874	0.568	0.506
perf3D
#radius	bd	hd	ad	vd	be	he	ae	ve	bg	hg	ag	vg	bo	ho	ao	vo	bc	hc	ac	vc	
1	1.33	1.81	2.6	2.14	1.33	1.79	2.51	2.14	2.71	1.97	5.08	4.25	2.14	3.62	0	4.49	2.15	3.68	0	4.52	
2	9.13	4.46	2.51	2.15	9.11	4.36	2.42	2.15	18.3	4.59	4.89	4.25	12.8	9.12	0	4.65	12.8	9.18	0	4.63	
3	33.4	7.72	2.46	2.16	33.3	7.86	2.39	2.16	66.6	8.27	4.81	4.27	44.3	17.5	0	4.83	44.3	17.7	0	4.83	
4	88.9	12.7	2.44	2.17	88.7	13	2.37	2.17	178	13.3	4.77	4.3	116	29.3	0	5.04	116	29.1	0	5.06	
