#radius	rep	total	nb	hnb	d	hd
3	5	49	1	2	0.840903	0.712389
3	5	49	2	2	0.864859	0.690109
3	5	49	3	2	1.03951	0.677462
3	5	49	4	2	1.12234	0.669565
3	5	49	5	2	1.2023	0.660992
3	5	49	6	2	1.17519	0.658249
3	5	49	7	4	1.27048	0.932904
3	5	49	8	4	1.26351	0.931477
3	5	49	9	4	1.3297	0.935105
3	5	49	10	4	1.31376	0.92833
3	5	49	11	4	1.39637	0.936263
3	5	49	12	4	1.36071	0.927073
3	5	49	13	4	1.45006	0.918086
3	5	49	14	6	1.42821	1.14593
3	5	49	15	6	1.52423	1.14936
3	5	49	16	6	1.55451	1.11468
3	5	49	17	6	1.59265	1.11903
3	5	49	18	6	1.618	1.13694
3	5	49	19	6	1.64914	1.10615
3	5	49	20	6	1.67428	1.11729
3	5	49	21	8	1.70873	1.42906
3	5	49	22	8	1.73847	1.4384
3	5	49	23	8	1.69894	1.41004
3	5	49	24	8	1.79918	1.40602
3	5	49	25	8	1.82526	1.4334
3	5	49	26	8	1.86204	1.40512
3	5	49	27	8	1.89496	1.41538
3	5	49	28	10	1.92312	1.64277
3	5	49	29	10	1.95864	1.62354
3	5	49	30	10	1.97702	1.62599
3	5	49	31	10	2.01855	1.6116
3	5	49	32	10	2.05065	1.60993
3	5	49	33	10	2.0754	1.60086
3	5	49	34	10	2.13694	1.58578
3	5	49	35	12	2.13735	1.82441
3	5	49	36	12	2.18385	1.82533
3	5	49	37	12	2.20937	1.84998
3	5	49	38	12	2.24729	1.84576
3	5	49	39	12	2.27847	1.84256
3	5	49	40	12	2.19536	1.86153
3	5	49	41	12	2.22603	1.87329
3	5	49	42	14	2.26116	2.16872
3	5	49	43	14	2.33679	2.12872
3	5	49	44	14	2.41316	2.13711
3	5	49	45	14	2.42639	2.12468
3	5	49	46	14	2.38979	2.12364
3	5	49	47	14	2.27754	2.11237
3	5	49	48	14	2.31291	2.09884
3	5	49	49	14	2.31133	2.10733
