#radius	rep	total	nb	hnb	d	hd
3	5	49	1	2	0.841299	0.713539
3	5	49	2	2	0.869522	0.691616
3	5	49	3	2	1.0233	0.675665
3	5	49	4	2	1.16975	0.667739
3	5	49	5	2	1.22305	0.66072
3	5	49	6	2	1.25862	0.660662
3	5	49	7	4	1.28905	0.931214
3	5	49	8	4	1.27767	0.92906
3	5	49	9	4	1.34744	0.935329
3	5	49	10	4	1.37537	0.930021
3	5	49	11	4	1.40822	0.928969
3	5	49	12	4	1.42671	0.926311
3	5	49	13	4	1.47557	0.92057
3	5	49	14	6	1.49905	1.14378
3	5	49	15	6	1.53599	1.14718
3	5	49	16	6	1.57019	1.11488
3	5	49	17	6	1.60327	1.11659
3	5	49	18	6	1.6262	1.13265
3	5	49	19	6	1.6684	1.10828
3	5	49	20	6	1.687	1.11483
3	5	49	21	8	1.72499	1.42786
3	5	49	22	8	1.75915	1.44127
3	5	49	23	8	1.68956	1.40595
3	5	49	24	8	1.8215	1.40874
3	5	49	25	8	1.84797	1.431
3	5	49	26	8	1.88209	1.40521
3	5	49	27	8	1.91516	1.41949
3	5	49	28	10	1.94831	1.64073
3	5	49	29	10	1.97412	1.62491
3	5	49	30	10	2.01548	1.62435
3	5	49	31	10	2.04247	1.61039
3	5	49	32	10	2.0713	1.60827
3	5	49	33	10	2.10602	1.59998
3	5	49	34	10	2.14072	1.58451
3	5	49	35	12	2.16919	1.82309
3	5	49	36	12	2.19519	1.82421
3	5	49	37	12	2.21613	1.8488
3	5	49	38	12	2.2475	1.8448
3	5	49	39	12	2.29312	1.84145
3	5	49	40	12	2.18902	1.86017
3	5	49	41	12	2.2207	1.8727
3	5	49	42	14	2.25389	2.16736
3	5	49	43	14	2.28761	2.12752
3	5	49	44	14	2.40684	2.13555
3	5	49	45	14	2.42079	2.12356
3	5	49	46	14	2.36614	2.11821
3	5	49	47	14	2.27666	2.11059
3	5	49	48	14	2.31194	2.09844
3	5	49	49	14	2.31013	2.10556
